TimeInterval,Latitude,Longitude,Speed
100.0,10.3021346,76.321614,4
100.0,10.3021346,76.321614,5
200.0,10.3021179,76.3216285,5
100.0,10.3020471,76.321651,8
100.0,10.302001,76.321666,8
0.0,10.3019895,76.3216601,9
200.0,10.3019959,76.3216702,11
100.0,10.3020107,76.3216525,11
100.0,10.3020352,76.3216096,14
100.0,10.3020462,76.3216045,14
100.0,10.3020811,76.3215725,17
100.0,10.3020947,76.3215528,20
0.0,10.302092,76.321556,24
100.0,10.3020907,76.3215572,28
100.0,10.3020903,76.3215597,32
100.0,10.3020895,76.3215614,34
100.0,10.3020897,76.3215617,34
200.0,10.3020938,76.3215551,35
300.0,10.3022001,76.3214011,35
300.0,10.3023043,76.3212431,39
300.0,10.3023922,76.3211231,41
100.0,10.3024237,76.3210949,41
200.0,10.3025187,76.3209635,43
200.0,10.3026371,76.3208152,45
300.0,10.3028078,76.3206472,48
300.0,10.3029586,76.3204243,51
200.0,10.303064,76.3202501,53
300.0,10.3032314,76.3199689,56
200.0,10.3033417,76.3197531,60
200.0,10.3035334,76.3194864,61
300.0,10.303672,76.3193216,62
300.0,10.3038667,76.3190799,63
400.0,10.3041117,76.318753,63
100.0,10.3041736,76.3186681,63
200.0,10.304343,76.3184642,66
300.0,10.3047005,76.3180801,66
300.0,10.3049818,76.3177532,67
300.0,10.3052319,76.3174839,69
200.0,10.3053082,76.3174118,80
100.0,10.3054616,76.317254,80
200.0,10.3056193,76.3170677,80
300.0,10.305839,76.3167692,80
300.0,10.3059348,76.3165882,80
100.0,10.3060363,76.3163956,80
200.0,10.3060926,76.3162976,80
100.0,10.3062212,76.3160893,80
400.0,10.306447,76.3157995,80
200.0,10.3065686,76.3156217,80
100.0,10.3066626,76.3154692,80
400.0,10.3068668,76.3151538,80
7400.0,10.3070207,76.3149079,80
200.0,10.3153257,76.3077531,86
300.0,10.31581,76.3073506,86
200.0,10.316112,76.3070765,84
300.0,10.316558,76.3067171,81
200.0,10.3167153,76.3065922,82
400.0,10.3174504,76.3059979,83
400.0,10.3178964,76.3056406,82
300.0,10.3184013,76.3052099,89
100.0,10.3187369,76.3049668,83
400.0,10.3193081,76.3045709,85
500.0,10.3199737,76.3040872,83
300.0,10.3204054,76.3037555,82
300.0,10.3208656,76.3033902,81
300.0,10.3213248,76.3030585,84
400.0,10.3217968,76.3027347,88
300.0,10.322351,76.3023314,88
200.0,10.3224896,76.3022445,87
600.0,10.3233176,76.3015202,80
200.0,10.3237859,76.3011543,80
600.0,10.3247048,76.3004896,80
300.0,10.3253032,76.3000688,80
400.0,10.3257958,76.2996763,80
200.0,10.3260691,76.2994509,80
700.0,10.3266295,76.2989391,80
3300.0,10.3293852,76.2929778,80
100.0,10.3299959,76.2924225,80
900.0,10.332835,76.2899212,84
200.0,10.3329249,76.2898445,85
200.0,10.3330525,76.289749,87
1300.0,10.3340169,76.2887299,50
500.0,10.3342763,76.2885651,83
400.0,10.3344675,76.288399,87
400.0,10.3346706,76.2882239,89
400.0,10.3349059,76.2880192,87
500.0,10.3350696,76.2878242,84
600.0,10.3352237,76.2875703,86
200.0,10.3352814,76.2874711,85
500.0,10.3354621,76.2871438,84
400.0,10.3355776,76.2869404,84
500.0,10.3356705,76.2866709,82
200.0,10.3357055,76.2865971,89
200.0,10.3357295,76.2865336,85
900.0,10.3358471,76.2862673,83
500.0,10.3359562,76.2860655,82
600.0,10.3360464,76.2858584,87
300.0,10.3360886,76.2857496,82
500.0,10.3361391,76.285582,87
400.0,10.3362039,76.2853724,87
500.0,10.336269,76.2852894,85
400.0,10.3362847,76.2852062,87
300.0,10.3363039,76.2851419,83
400.0,10.3363643,76.2849934,82
500.0,10.3364346,76.2848669,81
500.0,10.3365559,76.2846894,87
800.0,10.33671,76.2844544,82
200.0,10.3367491,76.2844052,85
500.0,10.3368519,76.2842696,83
600.0,10.3369529,76.284139,82
500.0,10.3370676,76.2840042,83
700.0,10.3372211,76.2838843,84
300.0,10.3372836,76.2838323,85
400.0,10.337452,76.2836914,86
500.0,10.3376205,76.2835601,87
600.0,10.3377418,76.2834383,83
500.0,10.3378836,76.2832817,80
900.0,10.3381168,76.2830513,80
800.0,10.3383708,76.2828046,80
200.0,10.3384329,76.2827522,80
500.0,10.3385638,76.2826323,80
600.0,10.3387457,76.2825095,80
600.0,10.3388882,76.2823912,80
500.0,10.339055,76.2822459,80
600.0,10.3391979,76.2821296,80
500.0,10.3393459,76.2819945,80
600.0,10.339487,76.2818782,80
500.0,10.3396415,76.2817495,80
600.0,10.3398153,76.2816018,80
900.0,10.3400516,76.2814238,80
300.0,10.3401094,76.2813745,80
600.0,10.3402134,76.2812509,80
300.0,10.3402581,76.2811814,80
300.0,10.3403312,76.2811087,80
600.0,10.3404867,76.2809757,80
600.0,10.3405834,76.2808825,80
800.0,10.3407421,76.2807492,80
300.0,10.3407296,76.2807652,80
900.0,10.3406618,76.2807553,80
600.0,10.3406301,76.280759,80
200.0,10.3406293,76.2807558,80
600.0,10.3406174,76.2807556,80
500.0,10.3406096,76.2807398,80
600.0,10.3406304,76.2807508,80
500.0,10.3406372,76.280796,80
600.0,10.3406462,76.2808068,80
600.0,10.3406583,76.2807823,80
600.0,10.3407859,76.2806846,80
700.0,10.3409544,76.2805068,80
700.0,10.3411113,76.2804255,80
600.0,10.3412674,76.28031,80
700.0,10.3414694,76.2801335,80
400.0,10.3415636,76.280037,80
1000.0,10.3418492,76.2798067,80
1000.0,10.3421733,76.2795591,80
400.0,10.3422715,76.2794854,80
600.0,10.3424238,76.2793352,80
300.0,10.3425037,76.2792799,80
400.0,10.3426274,76.2791991,80
700.0,10.3428275,76.2790425,80
400.0,10.3429122,76.2789727,80
300.0,10.3430095,76.2788888,80
700.0,10.3431647,76.2787462,80
800.0,10.3433722,76.278538,80
700.0,10.3436013,76.2783352,80
1800.0,10.3441016,76.2779126,80
700.0,10.3442978,76.2777832,80
400.0,10.3444024,76.2777042,80
400.0,10.3444966,76.2776275,80
800.0,10.3447561,76.2773426,80
700.0,10.3453005,76.2769467,80
900.0,10.3459271,76.2763832,80
900.0,10.3466761,76.2756681,80
800.0,10.3476791,76.2748101,80
800.0,10.34871,76.2739478,80
700.0,10.3499124,76.2728426,80
800.0,10.350961,76.2719376,80
800.0,10.3521411,76.2709563,80
800.0,10.3528398,76.2704012,80
800.0,10.3546909,76.2696547,80
1200.0,10.3573153,76.2691287,80
400.0,10.3581166,76.2692336,80
900.0,10.3596667,76.2693186,80
700.0,10.3613362,76.2695081,80
800.0,10.3629142,76.2696076,80
400.0,10.3634996,76.2696397,80
900.0,10.3651509,76.2697199,80
800.0,10.3666921,76.269812,80
1200.0,10.3691377,76.2700627,80
800.0,10.370562,76.2704694,80
800.0,10.3720172,76.2709607,80
900.0,10.3734366,76.2718298,80
500.0,10.3742834,76.2724203,80
400.0,10.3750621,76.2729956,80
400.0,10.3756953,76.2734725,80
400.0,10.3765375,76.2740254,80
900.0,10.3778213,76.274832,80
800.0,10.3792904,76.2752561,80
400.0,10.3800996,76.2754312,80
500.0,10.3809933,76.2754771,80
800.0,10.382492,76.2757555,80
900.0,10.3841727,76.2760919,80
900.0,10.3858179,76.2762621,80
900.0,10.3874741,76.2756584,80
800.0,10.388641,76.275356,80
900.0,10.3899691,76.2753465,80
900.0,10.3909573,76.2754322,80
900.0,10.391597,76.2755138,80
900.0,10.3921415,76.2755597,80
500.0,10.3923388,76.2755577,80
400.0,10.3925102,76.2755569,80
800.0,10.3924842,76.2755096,80
1300.0,10.3924433,76.2755492,80
400.0,10.3924329,76.2755383,80
900.0,10.3924223,76.275547,80
800.0,10.3924222,76.2755465,80
1300.0,10.392421,76.2755452,80
600.0,10.3924238,76.2755423,80
1000.0,10.3926423,76.2755998,80
1500.0,10.394191,76.2756291,80
400.0,10.3947699,76.2756568,80
1000.0,10.3960623,76.2757428,80
4600.0,10.3977761,76.2758597,80
900.0,10.4061679,76.273932,80
1400.0,10.4083591,76.2726264,80
400.0,10.4090807,76.2721571,80
1000.0,10.4102648,76.2714534,80
1200.0,10.4115913,76.2705832,80
1000.0,10.4129414,76.2690246,80
7900.0,10.413772,76.2670082,80
200.0,10.413772,76.2670082,80
200.0,10.4184925,76.2627981,80
100.0,10.4186187,76.2627425,80
100.0,10.4187082,76.2627052,80
100.0,10.418783,76.2626736,80
100.0,10.4188623,76.2626064,80
100.0,10.418927,76.2625524,80
100.0,10.418994,76.2625123,80
100.0,10.4190607,76.2624577,80
100.0,10.4190974,76.262444,80
100.0,10.4191593,76.2623979,80
100.0,10.4192197,76.2623531,80
100.0,10.4192803,76.2623068,80
100.0,10.4193334,76.2622667,80
100.0,10.419391,76.262224,80
100.0,10.41944,76.262179,80
100.0,10.4194779,76.2621408,80
100.0,10.4195336,76.2620727,80
100.0,10.4196019,76.2619822,80
100.0,10.4196457,76.2619393,80
100.0,10.4196972,76.2618732,80
100.0,10.4197495,76.2618174,80
100.0,10.4197891,76.2617777,80
100.0,10.4198242,76.2617365,80
100.0,10.4198657,76.2616829,80
100.0,10.419909,76.2616329,80
100.0,10.4199492,76.2615814,80
100.0,10.419985,76.2615354,80
100.0,10.4200357,76.2614755,80
100.0,10.4200834,76.2614131,80
100.0,10.420135,76.2613455,80
100.0,10.4201804,76.2612952,80
200.0,10.4202243,76.2612781,80
0.0,10.4202243,76.2612781,80
100.0,10.4202243,76.2612781,80
200.0,10.420324,76.2611293,80
100.0,10.4204413,76.2609425,80
100.0,10.4204834,76.2608968,80
100.0,10.4205253,76.2608444,80
100.0,10.4205666,76.2607837,80
100.0,10.4205975,76.2607407,80
100.0,10.4206251,76.2607149,80
100.0,10.4206617,76.2606753,80
0.0,10.4206617,76.2606753,80
100.0,10.4206617,76.2606753,80
100.0,10.4206617,76.2606753,80
200.0,10.4206936,76.2606257,80
100.0,10.4207685,76.2604854,80
100.0,10.4207907,76.2604445,80
100.0,10.4208159,76.2604144,80
100.0,10.4208408,76.2603842,80
100.0,10.4208619,76.2603561,80
100.0,10.4208619,76.2603561,80
100.0,10.4208619,76.2603561,80
100.0,10.4208619,76.2603561,80
200.0,10.4208908,76.2603207,80
100.0,10.4209944,76.2601788,80
100.0,10.4210163,76.2601558,80
100.0,10.4210358,76.2601277,80
100.0,10.4210565,76.2600948,80
100.0,10.4210776,76.2600619,80
100.0,10.4210974,76.2600272,80
100.0,10.4211159,76.2599952,80
100.0,10.421135,76.2599712,80
100.0,10.4211897,76.2599063,80
100.0,10.4212329,76.2598656,80
100.0,10.4212421,76.2598733,80
100.0,10.4212527,76.2598738,80
100.0,10.4212751,76.2598416,80
100.0,10.4212952,76.2597931,80
100.0,10.4213028,76.2597689,80
200.0,10.4213112,76.2597384,80
100.0,10.4213161,76.2597278,80
100.0,10.4213224,76.2597155,80
100.0,10.4213316,76.2597017,80
100.0,10.4213386,76.2596907,80
100.0,10.4213372,76.2596869,80
100.0,10.4213352,76.2596783,80
100.0,10.4213346,76.2596649,80
100.0,10.4213332,76.2596564,80
100.0,10.4213288,76.2596543,80
100.0,10.4213252,76.2596534,80
100.0,10.4213199,76.2596589,80
100.0,10.4213174,76.2596643,80
300.0,10.4213165,76.2596688,80
0.0,10.4213165,76.2596688,80
100.0,10.4213165,76.2596688,80
100.0,10.4213165,76.2596688,80
900.0,10.4213166,76.2596722,80
100.0,10.4213166,76.2596722,80
100.0,10.4213206,76.2596734,80
100.0,10.4213209,76.2596731,80
100.0,10.4213209,76.2596731,80
100.0,10.4213204,76.2596724,80
100.0,10.4213202,76.2596739,80
100.0,10.4213197,76.259674,80
100.0,10.4213205,76.2596722,80
100.0,10.4213217,76.2596701,80
100.0,10.4213222,76.2596689,80
100.0,10.4213222,76.2596689,80
200.0,10.4213222,76.2596689,80
100.0,10.4213222,76.2596689,80
100.0,10.4213222,76.2596689,80
100.0,10.4213222,76.2596689,80
100.0,10.4213222,76.2596689,80
100.0,10.4213222,76.2596689,80
100.0,10.4213222,76.2596689,80
0.0,10.4213222,76.2596689,80
100.0,10.421324,76.2596614,80
100.0,10.4213239,76.2596608,80
100.0,10.4213231,76.2596582,80
100.0,10.4213223,76.2596563,80
100.0,10.4213219,76.2596553,80
100.0,10.4213223,76.2596554,80
100.0,10.4213215,76.2596575,80
200.0,10.4213214,76.2596596,80
0.0,10.4213213,76.2596613,80
100.0,10.421321,76.2596617,80
100.0,10.4213217,76.259662,80
100.0,10.4213222,76.2596621,80
100.0,10.4213389,76.2596392,80
200.0,10.4213563,76.2596139,80
100.0,10.4213763,76.2595911,80
100.0,10.4213994,76.2595628,80
100.0,10.4214245,76.2595347,80
100.0,10.4214533,76.2595053,80
100.0,10.4214814,76.2594742,80
100.0,10.4215086,76.2594444,80
100.0,10.4215376,76.2594138,80
100.0,10.4215717,76.2593842,80
100.0,10.4216162,76.2593484,80
100.0,10.4216507,76.2593085,80
100.0,10.4216885,76.2592713,80
100.0,10.4217275,76.2592186,80
100.0,10.4217643,76.2591565,80
100.0,10.4217963,76.2591014,80
100.0,10.4218339,76.2590501,80
100.0,10.4218731,76.2590005,80
100.0,10.4219094,76.2589357,80
100.0,10.4219475,76.2588693,80
100.0,10.4219901,76.2588056,80
100.0,10.4220327,76.2587428,80
100.0,10.4220755,76.2586796,80
100.0,10.4221129,76.2586305,80
100.0,10.4221524,76.2585741,80
100.0,10.4221907,76.2585264,80
100.0,10.4222316,76.2584676,80
100.0,10.4222718,76.2584086,80
100.0,10.4223118,76.2583447,80
100.0,10.4223488,76.2582838,80
100.0,10.4223702,76.2582434,80
100.0,10.4224025,76.258187,80
200.0,10.4224777,76.2580812,80
100.0,10.4225175,76.2580291,80
100.0,10.4225613,76.2579646,80
100.0,10.4226179,76.2578861,80
200.0,10.422696,76.2577952,80
200.0,10.4227848,76.257691,80
200.0,10.422859,76.2575965,80
100.0,10.4228964,76.2575436,80
200.0,10.4229611,76.2574244,80
300.0,10.4230638,76.2572716,80
200.0,10.4231637,76.2570778,80
200.0,10.4232411,76.2569651,80
200.0,10.423394,76.2567752,80
300.0,10.4234837,76.2566481,80
100.0,10.4235213,76.2565939,80
100.0,10.4235594,76.2565436,80
200.0,10.4236267,76.2564591,80
300.0,10.4237528,76.2562762,80
200.0,10.4238437,76.2561255,80
300.0,10.423962,76.2559604,80
200.0,10.4240454,76.2558442,80
300.0,10.4241622,76.2556565,80
300.0,10.4243229,76.2554282,80
200.0,10.4243983,76.2553053,80
200.0,10.4244784,76.2551685,80
200.0,10.424524,76.2550955,80
200.0,10.4246634,76.2548991,80
300.0,10.424818,76.2546871,80
200.0,10.4249225,76.2545353,80
100.0,10.424971,76.2544764,80
300.0,10.4251165,76.2542942,80
300.0,10.4253006,76.2540451,80
100.0,10.4253801,76.2539347,80
100.0,10.4254546,76.253824,80
300.0,10.425686,76.2534794,80
200.0,10.425839,76.2532674,80
100.0,10.4259334,76.2531191,80
